gene,jw_id,medium,cluster,n_replicates,best_model,gr,N_max,lag,shape,aicc,converged
yncK,JW5961,M63,1,6,aHPM,0.5913672791143386,0.932642388234062,0.8339577618275046,0.5596408276657872,-159.80516350679954,true
yeiC,JW2153,M63,1,3,aHPM,0.7328784553160914,0.7379693414550711,0.008382582769060684,0.6211067393494787,-140.9164707471499,true
uspA,JW3462,LB,1,3,aHPM,1.2091329577869452,1.1415507934669806,49.62631206108361,0.37251887848427956,-134.16640133250888,true
ydaF,JW1349,LB,1,3,gompertz,0.2885804847286421,1.1199283173962291,NaN,NaN,-115.7243336047509,true
ybhK,JW0763,M63,2,3,aHPM,0.7073338083753238,0.672859151254852,0.4174682974167663,0.7310655526161681,-126.05947668805068,true
ytfJ,JW4175,M63,1,3,aHPM,1.3485044746070007,0.7231406908522023,0.026902559725443316,0.276433743206321,-115.32567572777178,true
pfkA,JW3887,M63,2,3,baranyi_richards,0.8559808600975208,0.3155807692233699,17.19467191870255,7.092764932789913,-171.0195450012279,true
yhhH,JW3449,M63,2,3,aHPM,1.2081573005507573,0.9498593689116219,0.6893415104704184,0.26212118358345915,-115.18473938766033,true
dppF,JW3509,M63,1,3,aHPM,0.6276014560820576,0.8719138855734001,0.23288509127139279,0.6936912184522583,-128.12132978590031,true
yieF,JW3691,M63,2,3,aHPM,0.6882946239439404,0.7152929648761849,0.056606203388196594,0.6492755179998674,-138.96410270203816,true
cysC,JW2720,M63,1,3,baranyi_richards,0.8595928992725772,0.07118900511769219,41.688152317625566,3.446448406395263,-249.87802195040416,true
yafE,JW0200,LB,2,3,gompertz,0.23744149270310108,1.2629642548267643,NaN,NaN,-131.6957020183952,true
yphE,JW2531,LB,2,3,gompertz,0.352786144359897,1.234248005731209,NaN,NaN,-91.17955016524208,true
smf,JW5708,M63,1,3,aHPM,0.5965431319561619,0.8705842348040177,0.7376071553412861,0.5533800192156969,-119.81316238645543,true
ygiN,JW2997,LB,2,3,gompertz,0.3073308944001964,1.1661379689310594,NaN,NaN,-105.87168058931128,true
ycdN,JW5141,LB,2,6,aHPM,2.462513693965662,1.1843136004769272,49.29586252024024,0.14097253802091544,-127.88307108640636,true
yjdO,JW5732,LB,1,3,aHPM,4.297736695494168,1.288149327448576,49.984583082390465,0.10408554176181063,-73.98086883759615,true
chiA,JW3300,LB,1,3,aHPM,1.4079213118991247,1.0640752112709742,49.99992541829495,0.3603469443782961,-84.69883913668801,true
ykfC,JW5813,LB,1,3,aHPM,1.1797481777701466,1.1894355634392044,49.99957954517078,0.4150511639144703,-96.5779013326154,true
mppA,JW1322,M63,1,3,aHPM,0.5819884181381747,0.9872721952412132,7.504175939330928,0.7043870182170016,-127.87488474836726,true
hycE,JW2691,M63,2,3,aHPM,0.7022709565044127,1.028354037962246,4.510525194613061,0.5856372072477335,-147.0243562752088,true
rraA,JW3900,LB,2,3,aHPM,1.1422748871651993,0.7843962212114437,49.999746017979184,0.4713077119183958,-119.13487073371064,true
frc,JW2371,LB,2,3,aHPM,1.330776321025171,1.217527816571544,41.10015922562451,0.26209766443708865,-114.82801274493026,true
ydgT,JW1617,LB,2,3,gompertz,0.24261809575403886,1.3530288217565665,NaN,NaN,-121.28736004443692,true
nudB,JW1854,LB,2,3,gompertz,0.2953263064595665,1.0177497262584676,NaN,NaN,-100.40714924178567,true
yncM,JW5237,LB,1,3,aHPM,2.6876434340119366,1.1889376580820652,49.99943284365604,0.16331936059592878,-84.87486304347853,true
yeiE,JW2144,LB,1,3,gompertz,0.2638541466366719,1.2214773895044895,NaN,NaN,-118.48717602828613,true
fdnH,JW1471,LB,1,3,gompertz,0.37877352795726354,1.3424285034931618,NaN,NaN,-68.4756697475343,true
uspA,JW3462,M63,1,3,aHPM,1.1026640638954033,0.941720218691607,1.2477578082411371,0.3249106195866082,-104.92378031333591,true
ybbB,JW0491,LB,2,3,gompertz,0.28049155829938965,1.1027183723694283,NaN,NaN,-114.14059955111449,true
yebT,JW1823,M63,1,3,aHPM,0.8915060617855185,0.8671226035624338,2.2305365117969513,0.3695531874218374,-127.18070417674949,true
yieG,JW3692,LB,1,3,aHPM,0.8318851722123217,0.796002240668512,49.999987912420025,0.54483910488781,-116.31285753049555,true
yhhI,JW3451,LB,2,3,aHPM,2.0960872534016746,1.1488347199636626,0.21788912237310115,0.20459324612568547,-87.58012195574723,true
pfkB,JW5280,LB,1,3,aHPM,1.4081684951082403,1.1417449964859743,49.999422020964,0.31943260262133727,-134.18517465936773,true
ybhL,JW0769,LB,1,3,aHPM,2.67702631152458,1.03935883407095,0.01837084133967677,0.18013857000625483,-76.13510137540246,true
yafE,JW0200,M63,1,3,aHPM,0.8172657372985466,1.0148436846291329,1.4697295340392416,0.40219071766745995,-122.82276965379396,true
hcaT,JW2520,M63,1,3,aHPM,0.7423386085264486,0.7998496781665977,0.014921232759608776,0.510312451970915,-155.62985781793586,true
ytfK,JW5749,LB,1,3,aHPM,1.1429181375245223,1.1612906963905645,2.5238156221035366,0.5056031699749919,-94.74686065197054,true
dps,JW0797,LB,1,3,gompertz,0.27152348018033995,1.1772269932842794,NaN,NaN,-133.06699093172244,true
smg,JW3245,LB,2,3,aHPM,1.8407680180221695,1.1866334463891641,19.205361739458866,0.17922874398981442,-118.19103679752243,true
ydaF,JW1349,M63,1,3,aHPM,0.8726200714902993,0.9865861739651534,1.064707482153803,0.3385618911049532,-123.88088997093385,true
ygiN,JW2997,M63,1,3,aHPM,0.6511510102238046,0.9783237385587831,1.3935876690204958,0.7034727200348689,-122.70416915754288,true
ycdN,JW5141,M63,1,6,aHPM,0.6379306591090241,1.0766673612459214,0.5406174913069867,0.4239417688461981,-149.53979900730863,true
yphE,JW2531,M63,1,3,aHPM,0.8714080232446677,0.9184717131823602,0.30862512411688636,0.36909140025910425,-132.48246537356027,true
chiA,JW3300,M63,1,3,baranyi_richards,0.6317966579132114,0.8700704020610239,3.7604033838074806,3.2074040349038335,-133.72463191447355,true
cysD,JW2722,LB,1,3,aHPM,3.3463292003444907,1.087609906979151,17.64372326361195,0.1294124183681813,-118.6022552168975,true
yjdO,JW5732,M63,2,3,aHPM,0.8348387219744376,1.1515826031064542,4.901038508423267,0.3279421900383661,-148.71986279073298,true
ykfC,JW5813,M63,2,3,aHPM,0.683725076661058,0.9449476392163776,1.3623080863665413,0.5731541892781922,-130.18315032709427,true
mprA,JW2659,LB,2,3,gompertz,0.2523293060515699,1.0513900377279584,NaN,NaN,-129.92583858667695,true
hycF,JW2690,LB,1,3,aHPM,1.2989283284543807,1.198073653295244,49.99491607306089,0.33590281157894547,-105.21823367375727,true
ydgT,JW1617,M63,1,3,baranyi_richards,0.5777961901066655,0.9136009123754201,2.8909717554541574,4.48026866648259,-125.84732720818158,true
uspE,JW1327,LB,2,3,aHPM,0.8563417212469568,0.7781138061380346,2.43361672480983,0.6444659893001603,-135.37513058457353,true
rraA,JW3900,M63,1,3,aHPM,0.6643476303512396,0.9988929406384036,12.649145327885059,0.5706287173393113,-141.8277351285184,true
yebU,JW5301,LB,1,3,aHPM,1.0510551873577996,1.0298620676584032,49.99995253047217,0.5236775821316978,-105.16504287470076,true
yhhI,JW3451,M63,1,3,aHPM,1.055404192634333,1.0622137815275612,4.6428709565823345,0.3034518441651927,-127.91764228672977,true
frc,JW2371,M63,1,3,aHPM,0.7883751069087978,0.71994148234529,0.07635555185791487,0.5778960388138014,-123.17202380996423,true
fdnH,JW1471,M63,2,3,aHPM,1.1625136324177212,1.011482418687156,1.7046057353486377,0.24159773200536575,-131.83839884881957,true
yafJ,JW0213,LB,2,3,gompertz,0.23639623930332648,1.1586070112049343,NaN,NaN,-113.59942925296147,true
nudB,JW1854,M63,1,3,aHPM,0.4897424107309644,1.0055061959433749,0.5550130684350802,0.5818276697436828,-151.4714482391997,true
pfkB,JW5280,M63,2,3,aHPM,0.6790233294307364,0.9268423983936804,0.31402124977353985,0.562019894901949,-134.18036329414355,true
yncM,JW5237,M63,2,3,aHPM,0.8872423331686947,0.8039067325811476,0.026315883622055048,0.5265788069753035,-147.76413636644918,true
ybbB,JW0491,M63,1,3,aHPM,0.6569604984903694,0.8943065743656461,0.8648628537341572,0.638050699309895,-119.95169949940316,true
yphF,JW2532,LB,2,3,gompertz,0.4147709222698812,0.8586552035583666,NaN,NaN,-67.48615431216406,true
ybhL,JW0769,M63,1,3,aHPM,0.7985988424812981,0.7963787489167176,0.008465247327803675,0.44420139458095526,-132.9247292478307,true
ytfK,JW5749,M63,1,3,baranyi_richards,0.6094505662377544,0.7769557226965822,6.31268123530522,49.99999342064158,-65.35799221915146,true
ydaG,JW5210,LB,1,3,aHPM,1.5684156549314165,1.2363461672596079,49.99971826246377,0.35393143274443056,-70.3415946151399,true
smg,JW3245,M63,2,3,aHPM,0.653596829364357,0.8843713796230583,0.5379583585674891,0.8150380982735171,-119.14952082585395,true
dps,JW0797,M63,1,3,aHPM,0.6392446079149988,0.962385490494163,0.6306906000150638,0.6436909920445951,-129.41161488065973,true
yieG,JW3692,M63,2,3,aHPM,0.8321087302676647,0.7420881562928539,0.06976995089064643,0.47908435671509914,-135.56704483477657,true
yjeB,JW4136,LB,1,3,logistic,0.7916569129231524,0.77118477237677,NaN,NaN,-68.54337466186647,true
hchA,JW1950,LB,2,3,gompertz,0.2899392252324911,1.024094329554623,NaN,NaN,-107.91335684643836,true
ycdO,JW1003,LB,2,3,gompertz,0.28407230499183633,1.2957006570148062,NaN,NaN,-119.73183629582103,true
yeiE,JW2144,M63,1,3,logistic,0.2003725243109386,0.0023170595524155215,NaN,NaN,-251.72841821868772,true
mprA,JW2659,M63,1,3,baranyi_richards,0.7614326579104392,0.658413394360547,4.101790831471398,3.5011312832027874,-103.83390716435596,true
chpA,JW2753,LB,1,3,aHPM,1.1991323378085317,1.1628050560089287,5.574489347955511,0.4090927477673851,-147.43169339392287,true
uspE,JW1327,M63,2,3,baranyi_richards,1.0823101027183324,0.5235428475187732,49.989375803429965,0.6531597220409349,-133.3423581739213,true
ydhA,JW1631,LB,2,3,gompertz,0.2679099426360154,1.1920690966599228,NaN,NaN,-127.53152204620051,true
hycF,JW2690,M63,2,3,aHPM,1.0915757374029593,0.9658161717453478,1.6319816085347785,0.28220944095266326,-118.36578106677125,true
ygiP,JW3032,LB,1,3,aHPM,0.8564518361504734,1.1988876694545247,49.99843187845636,0.6163423491722513,-104.13675444120108,true
rrmA,JW1811,LB,2,3,aHPM,1.2540951399542601,1.142315643975753,49.99899827016836,0.38284945000072246,-118.0053898873386,true
ykfF,JW5023,LB,1,3,logistic,0.6984212137029626,1.1583147945681591,NaN,NaN,-88.86112287083881,true
ybbC,JW0487,LB,1,3,aHPM,1.3246571889238061,1.1301514043562755,49.99944871315315,0.355483951441918,-116.8234963295366,true
frdA,JW4115,LB,1,3,gompertz,0.28071308581189264,1.2139650640900799,NaN,NaN,-120.0474366053861,true
fdnI,JW1472,LB,1,3,gompertz,0.28284206712600796,0.8086717577134767,NaN,NaN,-100.6448411632869,true
pflA,JW0885,LB,2,3,baranyi_richards,0.8011795613394886,1.1771347282021063,5.970435537485883,34.69575445237171,-95.88885437664024,true
yafJ,JW0213,M63,1,3,baranyi_richards,0.6029802479789186,0.9085335100855474,2.8942198737943827,3.1811639869319954,-129.74431230142443,true
yebU,JW5301,M63,2,3,baranyi_richards,1.2598866739057084,0.5083497831948712,9.6888294709635,1.7296431916272494,-125.92469960963808,true
ytfL,JW4177,LB,1,3,aHPM,1.6638941136344119,0.8263375282667603,0.2595218276997494,0.32684000942183605,-84.0560250912225,true
yhhJ,JW5677,LB,1,3,aHPM,1.1945619449407756,1.1888126771974679,49.99883788202281,0.4123592838804017,-103.6377706893233,true
ybhM,JW0770,LB,2,3,aHPM,1.4149234495718994,0.7734229224738682,0.22188449990555675,0.3138863884443539,-50.581886544543806,true
dsbA,JW3832,LB,1,3,gompertz,0.34110962043665566,1.2461539075344357,NaN,NaN,-91.04410840807236,true
yncN,JW5230,LB,1,3,aHPM,1.0813222923777723,1.1370288341079275,49.9935160482619,0.4846411121774261,-101.5296244230605,true
cysD,JW2722,M63,1,3,baranyi_richards,0.25676979173029,0.07311532934721296,19.191956902116146,32.80288390379032,-234.56904122060317,true
ydaG,JW5210,M63,1,3,aHPM,0.829324903947652,1.0517227452096338,2.1164099690842235,0.46654602380030413,-117.45180159785535,true
nudC,JW5548,LB,2,3,gompertz,0.18424098281720122,1.2536718417336483,NaN,NaN,-145.62971803444,true
smpA,JW2598,LB,1,3,gompertz,0.3406018031160303,1.2925082515059527,NaN,NaN,-97.31565690391153,true
yphF,JW2532,M63,1,3,aHPM,0.7131178496190291,0.8899728641411098,0.1320191001637657,0.7074454945077239,-134.17431779450055,true
hchA,JW1950,M63,1,3,aHPM,0.6666786775660238,0.8082834292783839,1.7640334965396387,0.6506438602218854,-121.77999052569649,true
