gene,medium,gr_loglin,gr_loglin_se,gr_max_sliding,t_exp_start,t_exp_end,doubling_time,R_squared,lag_loglin,N_max_emp,converged
yhiN,LB,0.5913643736995102,0.0223093064219715,0.826079969908843,2.0,6.25,1.1721152159094284,0.9777359890618037,1.207306799724988,1.126,True
yegQ,LB,0.7868980938659067,0.03497176045442268,1.152857300663614,3.75,8.25,0.8808601596105311,0.9675134251677506,3.0264880205709606,1.1210499999999999,True
yfaP,LB,0.552212994211428,0.0275325393520452,0.9843934988826644,1.75,6.0,1.2552170771529458,0.9617474560859504,-0.2917996573379713,1.1542299999999999,True
yddL,LB,0.46906728178734197,0.018917411000183067,0.6866652382985939,4.25,8.75,1.4777137683079609,0.9730935361132037,2.9457515597045396,0.9735933333333333,True
ycjX,LB,0.9961076249263672,0.02932144679704867,1.1322214620930493,3.75,6.0,0.6958557119881329,0.993115884035157,3.5015411665362213,0.79847,True
yhbU,LB,0.8008197759813672,0.025934724415475955,1.02611822555829,1.75,5.5,0.8655470323650859,0.985529243110957,1.3895256831060798,1.1613766666666665,True
yghZ,LB,0.6567371805488477,0.043450594967824406,1.0946632679545856,1.75,6.0,1.0554407472113412,0.93454702531234,0.23167050057141877,1.11212,True
yhiR,LB,0.656304896744694,0.039663814814409275,1.0833644125503843,1.75,5.75,1.0561359270637638,0.9480596812084096,0.1938863962793554,1.08716,True
ygiW,LB,1.0012015832533692,0.032168154434804856,1.1465247416656361,1.75,4.0,0.6923153060821059,0.9918091806844577,0.9973359575281113,0.77952,True
ymjC,LB,0.7625042744084214,0.039349931536468694,1.1421927128939966,2.0,5.5,0.9090403868197514,0.9665369732032234,3.8230738220098677,1.1007833333333332,True
yjcP,LB,0.06011590556413558,0.01152881114061593,1.2463030228505527,0.75,25.75,11.530179476718528,0.215468943843623,-39.04273213318886,1.1813,True
yaeR,LB,0.8966576417248125,0.042261105838185715,1.2824622397255296,3.25,7.75,0.7730343760039851,0.9636102769564661,2.916604740555028,1.1503199999999998,True
ychJ,LB,0.7923402794495322,0.02933254448722437,1.057803376102136,2.5,6.75,0.8748099756350894,0.9785426662403723,2.2845865742186016,1.1797300000000002,True
katG,LB,0.8825954544793749,0.03445687156761091,1.1254782060316721,2.5,5.75,0.7853509521741404,0.9820386838588017,1.9026804747370594,1.123546666666667,True
mdtF,LB,0.915088917898589,0.039364464155030386,1.2341621306822452,1.75,5.75,0.7574642933625391,0.9729925929872256,0.9540817488304524,1.02512,True
prlC,LB,0.7092445490174256,0.039064433649326484,1.1312792370603697,1.75,6.0,0.977303500633482,0.953707947622734,0.4392661622939407,1.1480166666666665,True
yidZ,LB,0.9978167670555647,0.04285462131819724,1.2521969363461773,1.75,4.25,0.6946637934390879,0.9836700192341107,0.6699303867179958,1.1254,True
ahpF,LB,0.8834952940612925,0.0317458048727578,1.1093312375230657,2.75,6.0,0.7845510725627682,0.9847430274677463,2.3310934728814723,1.1253733333333336,True
yhjA,LB,0.7720192745126903,0.0452888992727739,1.0884696794751676,1.75,4.75,0.8978366259022093,0.9635260020933443,0.659639567673649,1.0107000000000002,True
yfaX,LB,0.8431404022701012,0.036271884636646386,1.1649593468155421,3.5,8.0,0.8221017267037508,0.9694974577300096,3.084766339825815,1.02842,True
yliE,LB,0.6387095802268771,0.03603961556398291,1.2016970792762156,1.75,5.5,1.0852305993496,0.9573280717308453,-0.4551478942139537,1.13826,True
yfaL,LB,0.9033988902658727,0.04235263941499137,1.2939748228020025,2.25,6.75,0.7672659198816928,0.9639819913489883,2.3349720135942977,1.1499599999999999,True
yidJ,LB,0.8640982176673976,0.03506419285848547,1.1984450940614328,2.75,7.0,0.8021624930914352,0.9743299042368627,2.301480864415822,0.73538,True
yhcD,LB,0.9417237679555893,0.035418378117502966,1.2423162227544289,4.25,8.25,0.7360408690381842,0.9792229858633514,4.035360454654216,0.7295766666666668,True
ydeW,LB,1.0760072974335175,0.04076238157730612,1.4013609172124184,2.75,6.75,0.644184460656757,0.9789268163769637,2.4180458257064292,1.0191600000000003,True
yfaT,LB,0.8686502987305267,0.0337205868658788,1.1421725362138913,1.75,5.75,0.797958835187109,0.9778953350990008,1.296754718028362,1.13299,True
ynjF,LB,0.8094191942977674,0.026098640177464775,1.0454028354008744,2.5,6.75,0.8563513015790329,0.9836377163432783,2.020888744317191,0.839095,True
yiaT,LB,1.1486742120530131,0.03788842941747108,1.3594410744609795,2.0,4.75,0.60343235121566,0.9892373315761125,1.3339106159667011,1.0504766666666667,True
ybdN,LB,0.6047952641031407,0.022223026611488166,0.8251677181748793,3.25,7.75,1.1460856618773676,0.9775620637328096,2.6944967094921592,1.1340466666666664,True
sgrR,LB,0.8820515351874589,0.04353008517952895,1.2511936663840164,1.75,5.5,0.7858352408089551,0.9670270523685022,0.9401224646585291,1.1710599999999998,True
ynfM,LB,1.0708041190741406,0.04151610448260758,1.401723224490358,2.5,6.5,0.6473146378623081,0.9779493821881171,2.051870214640422,1.18432,True
ydhC,LB,0.10378551780024438,0.3552005768325672,1.1427992598321242,24.0,25.0,6.67865030932392,0.02767058603490967,4.429532024295838,1.14485,True
ygaR,LB,0.8600852034925485,0.04957189435645503,1.327353841846352,1.75,6.0,0.8059052495558372,0.9495318265428186,0.7631510764076532,1.0653866666666665,True
ydcA,LB,0.7443027799141255,0.03030845714010018,1.0012686024849917,1.75,5.0,0.9312704443209491,0.9804901972710016,0.604673873585132,1.1222333333333334,True
flxA,LB,1.1046654042539465,0.0509508925481851,1.5204705725999854,5.0,9.0,0.6274725160131844,0.969076309203347,4.976218012678089,1.1150600000000002,True
yqaE,LB,0.7270628858308712,0.03790065795153553,1.1105950454395879,1.75,5.75,0.953352445941223,0.9608357374071759,0.6786085722936042,1.1397766666666667,True
stfQ,LB,0.8896663005557024,0.05920095662996253,1.4045808715807315,1.75,5.25,0.7791091784942202,0.9455697782301995,0.3081438502434103,1.1188733333333334,True
frc,LB,0.6794347133469022,0.029486838974499753,0.9898551836717291,2.0,6.25,1.0201821704774183,0.9707459144802659,1.313133479751502,1.1266433333333334,True
ybhI,LB,0.7421416766289138,0.04456797611471312,1.248708999019955,0.75,5.5,0.933982287194111,0.9390421323385982,0.12363630284105163,1.0661533333333333,True
arnT,LB,0.6295009416257898,0.03438061853159045,1.1451497567614228,1.75,6.0,1.1011058677208307,0.9544480592323286,-0.46743324414779425,1.1717866666666668,True
csgF,LB,1.057058371470297,0.04106845610481399,1.3974491476094248,3.0,7.0,0.6557321707748497,0.9778595445021752,2.7154592125844035,1.0871950000000001,True
ygeL,LB,0.8430806879832173,0.0253963343698532,0.9983679742809946,1.75,4.5,0.8221599550786334,0.9910074941509576,1.0799414319680487,1.1252,True
cof,LB,0.6289353810203001,0.028742510620443834,0.9383610965241289,1.75,6.0,1.1020960204774561,0.9676643157069896,0.555708762491818,1.14433,True
yfcH,LB,1.208420908229148,0.028588662508202058,1.3065533838162302,2.25,4.25,0.5735974740586883,0.9960974266724185,1.551445503353267,0.9528399999999999,True
mdtJ,LB,1.1072656728149848,0.03815625503115063,1.4132346477925635,2.25,6.25,0.62599897890609,0.9824994622504313,2.0106507278049532,0.9453333333333334,True
yciA,LB,0.7523565837242154,0.046427210677037666,1.3632362411856813,1.75,6.0,0.9213014088729314,0.9425709332741081,-0.37092179496587263,1.1039466666666664,True
