gene,jw_id,medium,n_replicates
torI,JW5387,M63,3
torR,JW0980,LB,3
torR,JW0980,M63,3
torS,JW5135,LB,3
torS,JW5135,M63,3
torT,JW0979,LB,3
torT,JW0979,M63,3
torY,JW1862,LB,3
torY,JW1862,M63,3
torZ,JW1861,LB,3
torZ,JW1861,M63,3
tpiA,JW3890,LB,3
tpiA,JW3890,M63,3
tpr,JW1219,LB,3
tpr,JW1219,M63,3
tpx,JW1317,LB,3
tpx,JW1317,M63,3
treA,JW1186,LB,3
treA,JW1186,M63,3
treB,JW4199,LB,3
treB,JW4199,M63,3
treC,JW4198,LB,3
treC,JW4198,M63,3
treF,JW3487,LB,3
treF,JW3487,M63,3
treR,JW4200,LB,3
treR,JW4200,M63,3
trg,JW1417,LB,3
trg,JW1417,M63,3
trkA,JW3251,LB,3
trkA,JW3251,M63,3
trkD,JW5609,LB,3
trkD,JW5609,M63,3
trkG,JW1358,LB,3
trkG,JW1358,M63,3
trkH,JW5576,LB,3
trkH,JW5576,M63,3
trmA,JW3937,LB,3
trmA,JW3937,M63,3
trmC,JW5380,LB,3
trmC,JW5380,M63,3
trmE,JW3684,LB,3
trmE,JW3684,M63,3
trmH,JW3626,LB,3
trmH,JW3626,M63,3
trmU,JW1119,LB,3
trmU,JW1119,M63,3
trpA,JW1252,LB,3
trpA,JW1252,M63,3
trpB,JW1253,LB,3
trpB,JW1253,M63,3
trpC,JW1254,LB,3
trpC,JW1254,M63,3
trpD,JW1255,LB,3
trpD,JW1255,M63,3
trpE,JW1256,LB,3
trpE,JW1256,M63,3
trpL,JW1257,LB,3
trpL,JW1257,M63,3
trpR,JW4356,LB,3
trpR,JW4356,M63,3
truA,JW2315,LB,3
truA,JW2315,M63,3
truB,JW3135,LB,3
truB,JW3135,M63,3
truD,JW2715,LB,3
truD,JW2715,M63,3
trxA,JW5856,LB,3
trxA,JW5856,M63,3
trxB,JW0871,LB,3
trxB,JW0871,M63,3
trxC,JW2566,LB,3
trxC,JW2566,M63,3
tsgA,JW3327,LB,3
tsgA,JW3327,M63,3
tsr,JW4318,LB,3
tsr,JW4318,M63,3
tsx,JW0401,LB,3
tsx,JW0401,M63,3
ttdA,JW3033,LB,3
ttdA,JW3033,M63,3
ttdB,JW3034,LB,3
ttdB,JW3034,M63,3
ttk,JW5641,LB,3
ttk,JW5641,M63,3
tufA,JW3301,LB,3
tufA,JW3301,M63,3
tufB,JW3943,LB,3
tufB,JW3943,M63,3
tus,JW1602,LB,3
tus,JW1602,M63,3
tynA,JW1381,LB,3
tynA,JW1381,M63,3
tyrA,JW2581,LB,3
tyrA,JW2581,M63,3
tyrB,JW4014,LB,3
tyrB,JW4014,M63,3
tyrP,JW1895,LB,3
tyrP,JW1895,M63,3
tyrR,JW1316,LB,3
tyrR,JW1316,M63,3
ubiC,JW5713,LB,3
ubiC,JW5713,M63,3
ubiE,JW5581,LB,3
ubiE,JW5581,M63,3
ubiF,JW0659,LB,3
ubiF,JW0659,M63,3
ubiG,JW2226,LB,3
ubiG,JW2226,M63,3
ubiH,JW2875,LB,3
ubiH,JW2875,M63,3
ubiX,JW2308,LB,3
ubiX,JW2308,M63,3
ucpA,JW5394,LB,3
ucpA,JW5394,M63,3
udk,JW2051,LB,3
udk,JW2051,M63,3
udp,JW3808,LB,3
udp,JW3808,M63,3
ugd,JW2010,LB,3
ugd,JW2010,M63,3
ugpA,JW3417,LB,3
ugpA,JW3417,M63,3
ugpB,JW3418,LB,3
ugpB,JW3418,M63,3
ugpC,JW3415,LB,3
ugpC,JW3415,M63,3
ugpE,JW3416,LB,3
ugpE,JW3416,M63,3
ugpQ,JW3414,LB,3
ugpQ,JW3414,M63,3
uhpA,JW3644,LB,3
uhpA,JW3644,M63,3
uhpB,JW3643,LB,3
uhpB,JW3643,M63,3
uhpC,JW3642,LB,3
uhpC,JW3642,M63,3
uhpT,JW3641,LB,3
uhpT,JW3641,M63,3
uidA,JW1609,LB,3
uidA,JW1609,M63,3
uidB,JW1608,LB,3
uidB,JW1608,M63,3
uidC,JW1607,LB,3
uidC,JW1607,M63,3
uidR,JW1610,LB,3
uidR,JW1610,M63,3
ulaA,JW5744,LB,3
ulaA,JW5744,M63,3
ulaB,JW4152,LB,3
ulaB,JW4152,M63,3
ulaC,JW4153,LB,3
ulaC,JW4153,M63,3
ulaD,JW4154,LB,3
ulaD,JW4154,M63,3
ulaE,JW4155,LB,3
ulaE,JW4155,M63,3
ulaF,JW4156,LB,3
ulaF,JW4156,M63,3
ulaG,JW5868,LB,3
ulaG,JW5868,M63,3
ulaR,JW4149,LB,3
ulaR,JW4149,M63,3
umuC,JW1173,LB,3
umuC,JW1173,M63,3
umuD,JW1172,LB,3
umuD,JW1172,M63,3
ung,JW2564,LB,3
ung,JW2564,M63,3
upp,JW2483,LB,3
upp,JW2483,M63,3
uraA,JW2482,LB,3
uraA,JW2482,M63,3
usg,JW2316,LB,3
